COUNTRY,CITY,YEAR,PM25,latitude,longitude,POPULATION,WBINC16,REGION,CONC_PM25,COLOR_PM25,GEOM
Thailand,Khon Kaen,2014,28.36573028,16.44532967,102.8352509,1790049,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":102.835,""y"":16.4453,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Lamphun,2014,24.47239475,18.56744385,99.00799561,405468,Upper middle income,South-East Asia (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":99.008,""y"":18.5674,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Nakhon Ratchasima,2014,28.36573028,14.97972584,102.0983047,2620517,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":102.098,""y"":14.9797,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Nonthaburi,2014,25.30668093,13.80715561,100.5063171,1173870,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.506,""y"":13.8072,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Pathum Thani,2014,26.69715791,14.03751183,100.6051254,1074058,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.605,""y"":14.0375,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Phayao,2014,22.80382238,19.16386223,99.90271759,484454,Upper middle income,South-East Asia (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":99.9027,""y"":19.1639,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Phra Nakhon Si Ayutthaya,2014,30.59049344,14.3522253,100.5653534,803599,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.565,""y"":14.3522,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Phuket,2014,13.34857895,7.884508133,98.39131927,378364,Upper middle income,South-East Asia (LMIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":98.3913,""y"":7.88451,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Rayong,2014,22.80382238,12.67152119,101.2758713,674393,Upper middle income,South-East Asia (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":101.276,""y"":12.6715,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Samut Prakan,2014,28.22668258,13.59917164,100.5973282,1261530,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.597,""y"":13.5992,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"